Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Valor,SEXE,EDAT_Q
2023-01-01,1,Ciutat Vella,1,el Raval,1,54,1,0
2023-01-01,1,Ciutat Vella,1,el Raval,1,45,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,38,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,39,1,3
2023-01-01,1,Ciutat Vella,1,el Raval,1,101,1,4
2023-01-01,1,Ciutat Vella,1,el Raval,1,138,1,5
2023-01-01,1,Ciutat Vella,1,el Raval,1,128,1,6
2023-01-01,1,Ciutat Vella,1,el Raval,1,102,1,7
2023-01-01,1,Ciutat Vella,1,el Raval,1,81,1,8
2023-01-01,1,Ciutat Vella,1,el Raval,1,79,1,9
2023-01-01,1,Ciutat Vella,1,el Raval,1,68,1,10
2023-01-01,1,Ciutat Vella,1,el Raval,1,69,1,11
2023-01-01,1,Ciutat Vella,1,el Raval,1,42,1,12
2023-01-01,1,Ciutat Vella,1,el Raval,1,42,1,13
2023-01-01,1,Ciutat Vella,1,el Raval,1,40,1,14
2023-01-01,1,Ciutat Vella,1,el Raval,1,29,1,15
2023-01-01,1,Ciutat Vella,1,el Raval,1,39,1,16
2023-01-01,1,Ciutat Vella,1,el Raval,1,29,1,17
2023-01-01,1,Ciutat Vella,1,el Raval,1,19,1,18
2023-01-01,1,Ciutat Vella,1,el Raval,1,7,1,19
2023-01-01,1,Ciutat Vella,1,el Raval,1,5,1,20
2023-01-01,1,Ciutat Vella,1,el Raval,1,49,2,0
2023-01-01,1,Ciutat Vella,1,el Raval,1,42,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,33,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,35,2,3
2023-01-01,1,Ciutat Vella,1,el Raval,1,71,2,4
2023-01-01,1,Ciutat Vella,1,el Raval,1,137,2,5
2023-01-01,1,Ciutat Vella,1,el Raval,1,176,2,6
2023-01-01,1,Ciutat Vella,1,el Raval,1,147,2,7
2023-01-01,1,Ciutat Vella,1,el Raval,1,147,2,8
2023-01-01,1,Ciutat Vella,1,el Raval,1,84,2,9
2023-01-01,1,Ciutat Vella,1,el Raval,1,73,2,10
2023-01-01,1,Ciutat Vella,1,el Raval,1,77,2,11
2023-01-01,1,Ciutat Vella,1,el Raval,1,50,2,12
2023-01-01,1,Ciutat Vella,1,el Raval,1,42,2,13
2023-01-01,1,Ciutat Vella,1,el Raval,1,45,2,14
2023-01-01,1,Ciutat Vella,1,el Raval,1,31,2,15
2023-01-01,1,Ciutat Vella,1,el Raval,1,28,2,16
2023-01-01,1,Ciutat Vella,1,el Raval,1,14,2,17
2023-01-01,1,Ciutat Vella,1,el Raval,1,6,2,18
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,2,19
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,2,20
2023-01-01,1,Ciutat Vella,1,el Raval,2,158,1,0
2023-01-01,1,Ciutat Vella,1,el Raval,2,178,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,175,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,134,1,3
2023-01-01,1,Ciutat Vella,1,el Raval,2,208,1,4
2023-01-01,1,Ciutat Vella,1,el Raval,2,314,1,5
2023-01-01,1,Ciutat Vella,1,el Raval,2,281,1,6
2023-01-01,1,Ciutat Vella,1,el Raval,2,242,1,7
2023-01-01,1,Ciutat Vella,1,el Raval,2,196,1,8
2023-01-01,1,Ciutat Vella,1,el Raval,2,200,1,9
